Date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
2010-10-11,90.42816162109375,166.10438537597656,480.9057922363281,233.0716552734375,285.19744873046875,1053.6304931640625,7.088775157928467,48.849365234375,285.6375732421875,30.506399154663086,183.26939392089844,310.08544921875,,315.6644592285156,283.2388916015625,115.35017395019531,326.96337890625,75.29878997802734,105.6190185546875,,1166.41259765625,190.44827270507812,224.2193145751953,174.2256622314453,252.0110626220703,267.03839111328125,75.62435150146484,114.8392105102539,257.0997619628906,732.6519775390625,301.44866943359375,1345.7362060546875,134.73399353027344,106.32482147216797,116.74797058105469,36.075740814208984,218.920166015625,,272.676025390625,187.07127380371094,110.59195709228516,213.0933837890625,41.390254974365234,344.0133361816406,135.0323486328125,156.478271484375,1034.864990234375,104.47784423828125,73.69967651367188
2010-10-12,89.58934783935547,162.28536987304688,487.62030029296875,233.01913452148438,283.7906188964844,1034.451904296875,7.12896728515625,48.389488220214844,282.47161865234375,30.508453369140625,183.59873962402344,310.4508361816406,,311.9331970214844,283.6815185546875,114.7374496459961,323.8492431640625,75.10653686523438,105.25641632080078,,1169.0574951171875,186.55255126953125,221.89993286132812,175.16400146484375,247.6549835205078,267.1036071777344,74.74983215332031,111.91256713867188,248.7184295654297,718.8114624023438,304.7933349609375,1348.2196044921875,138.0565948486328,104.90318298339844,116.63648223876953,35.928016662597656,216.1355743408203,,270.057861328125,188.88775634765625,107.91468811035156,214.01858520507812,40.95378112792969,347.5964660644531,135.90328979492188,153.21971130371094,1024.579345703125,107.52088928222656,73.6678695678711
2010-10-13,90.15923309326172,158.2362823486328,538.002197265625,233.18115234375,292.16717529296875,1047.75830078125,7.124054908752441,49.07689666748047,289.5948181152344,31.19516372680664,180.09927368164062,310.31378173828125,,315.3391418457031,286.70733642578125,114.66587829589844,321.66650390625,77.65872192382812,107.95162963867188,,1169.7110595703125,191.6435546875,230.68316650390625,178.24053955078125,246.87545776367188,273.84808349609375,76.56446838378906,114.0843734741211,257.9155578613281,747.0677490234375,313.5279235839844,1382.234130859375,138.2973175048828,103.78079223632812,118.36896514892578,36.059326171875,219.70848083496094,,276.06671142578125,190.2298126220703,110.18006896972656,217.67312622070312,41.24476623535156,363.0072937011719,138.51614379882812,154.0552215576172,1053.60498046875,107.68994903564453,76.83903503417969
2010-10-14,88.29598236083984,153.58905029296875,516.4501953125,236.3822021484375,287.5972900390625,1034.41796875,7.193723678588867,48.59764099121094,287.4703674316406,29.64750099182129,179.27587890625,305.47235107421875,,314.2978515625,284.5035705566406,112.89923858642578,325.7052307128906,76.71475982666016,107.20430755615234,,1158.5396728515625,191.15658569335938,227.4893341064453,175.3178253173828,248.15933227539062,276.66229248046875,76.54261016845703,113.67530822753906,254.55325317382812,723.3231201171875,306.0289611816406,1381.34765625,136.4832000732422,101.03728485107422,116.22047424316406,35.10736846923828,216.8317108154297,,272.3795166015625,190.0626220703125,109.60343933105469,218.94993591308594,42.19206619262695,360.5211486816406,136.6246795654297,154.12254333496094,1071.4521484375,110.84571838378906,77.95968627929688
2010-10-15,87.97583770751953,148.98782348632812,500.06317138671875,232.76959228515625,276.2232360839844,1021.655029296875,7.0106201171875,48.34107971191406,277.9727478027344,28.49956703186035,176.8468475341797,303.00592041015625,,310.1325988769531,286.3731994628906,115.0370864868164,319.7757873535156,75.41239929199219,105.51953887939453,,1113.854736328125,188.23477172851562,227.071044921875,173.00270080566406,245.6833038330078,267.19915771484375,75.18709564208984,110.95528411865234,251.4627685546875,714.8928833007812,302.7907409667969,1347.199462890625,133.8279571533203,101.91024017333984,114.9596939086914,35.041717529296875,213.0131072998047,,264.3788146972656,184.31944274902344,106.96735382080078,213.9168243408203,41.11543273925781,347.4501953125,132.35791015625,152.6835479736328,1064.923583984375,107.40818786621094,75.25743103027344
2010-10-18,86.98979187011719,146.2730712890625,484.2395935058594,232.87026977539062,272.5269775390625,1031.7022705078125,6.787770748138428,49.02848434448242,272.6407165527344,28.665603637695312,174.5207061767578,297.7989196777344,,305.164794921875,291.7112731933594,113.77584838867188,314.59698486328125,78.0433120727539,106.05900573730469,,1121.63427734375,187.1722869873047,225.81631469726562,171.69515991210938,239.76815795898438,269.87005615234375,75.01219177246094,111.22941589355469,251.7347412109375,724.5274047851562,298.7643737792969,1322.9412841796875,134.24855041503906,103.45655059814453,117.01810455322266,35.041717529296875,214.46685791015625,,264.55419921875,185.1824951171875,106.76139831542969,216.30384826660156,41.77499008178711,358.7660827636719,133.00015258789062,149.28111267089844,1063.7493896484375,106.1120834350586,74.36729431152344
2010-10-19,86.45836639404297,152.34669494628906,497.33978271484375,230.83407592773438,270.0534973144531,1028.1385498046875,6.7096171379089355,48.43305206298828,272.59912109375,29.01613426208496,174.7060089111328,303.23431396484375,,304.10186767578125,294.204345703125,113.78032684326172,316.0706787109375,76.78468322753906,104.75011444091797,,1143.1055908203125,182.7010498046875,225.8542938232422,172.21824645996094,243.11549377441406,261.4578552246094,74.55307006835938,108.88471221923828,249.68270874023438,717.4811401367188,298.89215087890625,1325.8682861328125,138.70529174804688,101.88526153564453,115.83885955810547,34.582157135009766,213.84237670898438,,260.28240966796875,185.0695037841797,106.88496398925781,217.2660675048828,40.94084548950195,353.830322265625,133.9414520263672,147.9164581298828,1062.6695556640625,106.70378112792969,73.83478546142578
2010-10-20,85.88208770751953,151.61053466796875,486.2585754394531,228.0928192138672,267.607666015625,1009.6048583984375,6.840022087097168,47.27607727050781,267.64190673828125,29.282621383666992,175.4264373779297,304.1934509277344,,304.6224365234375,286.2377014160156,111.22651672363281,309.2791748046875,74.48596954345703,103.27759552001953,,1144.3187255859375,179.86778259277344,223.11666870117188,171.34906005859375,241.28131103515625,262.1875305175781,73.45990753173828,106.24060821533203,248.02621459960938,720.7885131835938,297.86962890625,1322.1873779296875,138.6027374267578,102.45894622802734,115.82593536376953,34.22107696533203,214.87632751464844,,258.4241638183594,184.1522674560547,106.55545043945312,214.21287536621094,39.812496185302734,352.18487548828125,132.57785034179688,147.2270965576172,1052.9940185546875,107.77449035644531,73.75531768798828
2010-10-21,87.18827819824219,160.12277221679688,487.10382080078125,230.80337524414062,277.0048522949219,1011.67529296875,6.891826152801514,47.5374870300293,280.8470153808594,29.55730628967285,177.21734619140625,315.38372802734375,,307.8764953613281,291.9190979003906,111.75428009033203,312.8939514160156,74.04891204833984,104.58427429199219,,1153.0008544921875,188.8988494873047,233.04054260253906,173.76417541503906,242.84030151367188,267.1036376953125,76.23651885986328,107.20631408691406,248.7184295654297,734.5213012695312,303.70684814453125,1342.5430908203125,142.5008087158203,102.60860443115234,116.65363311767578,34.664222717285156,221.46934509277344,,266.83837890625,191.67124938964844,107.42040252685547,215.9615020751953,40.63370895385742,360.57611083984375,133.17608642578125,149.21151733398438,1048.2974853515625,115.46664428710938,74.73287963867188
2010-10-22,86.31748962402344,157.54611206054688,485.0847473144531,229.77430725097656,269.2259521484375,1009.197509765625,6.903437614440918,46.782318115234375,277.8061218261719,29.49785804748535,175.30294799804688,314.56158447265625,,309.46014404296875,290.75390625,111.21758270263672,313.7419128417969,73.30158233642578,102.884033203125,,1153.8099365234375,187.61500549316406,229.0862274169922,174.11026000976562,251.7359619140625,268.7496337890625,74.85914611816406,105.85687255859375,244.49075317382812,725.9474487304688,298.9348449707031,1333.363037109375,142.4422607421875,101.76055908203125,115.25991821289062,35.09096145629883,221.50006103515625,,267.7652893066406,193.37928771972656,105.89643859863281,212.58450317382812,39.928890228271484,380.3195495605469,133.77430725097656,148.77517700195312,1045.29150390625,118.537841796875,71.35507202148438
